"n","d","d_label","prior","reject_rate","mean_ev","mean_k_star","sd_ev","sd_k_star"
30,0,"Δ=0.00 (H₀ true)","KL-optimal",0.166666666666667,0.723924517270106,0.456827273400682,0.293713736498513,0.138280182369782
30,0,"Δ=0.00 (H₀ true)","Informative (α=10)",0.333333333333333,0.838078219972821,0.759788948164356,0.201259532986827,0.147635549499661
50,0,"Δ=0.00 (H₀ true)","KL-optimal",0.333333333333333,0.660629979475106,0.455229564319442,0.294735812830342,0.173359600453788
50,0,"Δ=0.00 (H₀ true)","Informative (α=10)",0.366666666666667,0.76373131381061,0.71604227371455,0.228750012281538,0.112509641968558
75,0,"Δ=0.00 (H₀ true)","KL-optimal",0.266666666666667,0.645402896570156,0.432966458945711,0.312358455719707,0.109827632717456
75,0,"Δ=0.00 (H₀ true)","Informative (α=10)",0.266666666666667,0.718393091830769,0.601604559336748,0.274840652195582,0.110833696530358
100,0,"Δ=0.00 (H₀ true)","KL-optimal",0.3,0.631332960656912,0.448184195963322,0.35737863173141,0.151312868222845
100,0,"Δ=0.00 (H₀ true)","Informative (α=10)",0.4,0.684171636859246,0.627814036064793,0.323133143969682,0.137780526230084
150,0,"Δ=0.00 (H₀ true)","KL-optimal",0.233333333333333,0.690983295808515,0.484046351130661,0.295623778956632,0.145162946024843
150,0,"Δ=0.00 (H₀ true)","Informative (α=10)",0.2,0.728293543836039,0.514836727098088,0.272926866018896,0.126921582422261
30,0.02,"Δ=0.02 (small)","KL-optimal",0.233333333333333,0.691218816103966,0.44770437445331,0.27029111438612,0.136244484681305
30,0.02,"Δ=0.02 (small)","Informative (α=10)",0.333333333333333,0.826241165489176,0.746222145669474,0.17844838495659,0.109967904112731
50,0.02,"Δ=0.02 (small)","KL-optimal",0.133333333333333,0.762314537523275,0.468551796228714,0.232619014948933,0.159512571225972
50,0.02,"Δ=0.02 (small)","Informative (α=10)",0.2,0.846093135569984,0.697514896366266,0.162957153860412,0.110653787968791
75,0.02,"Δ=0.02 (small)","KL-optimal",0.2,0.675543016102955,0.436492053800933,0.290045702744303,0.124914010196111
75,0.02,"Δ=0.02 (small)","Informative (α=10)",0.266666666666667,0.747628433289792,0.640321572924158,0.248153241992692,0.150574994126271
100,0.02,"Δ=0.02 (small)","KL-optimal",0.233333333333333,0.661944054342938,0.406650425827986,0.303852777458075,0.123742711009453
100,0.02,"Δ=0.02 (small)","Informative (α=10)",0.266666666666667,0.719842755142011,0.571325432670398,0.269627697395937,0.161039578036892
150,0.02,"Δ=0.02 (small)","KL-optimal",0.166666666666667,0.725366487245416,0.494983487158404,0.266069624658817,0.167533561855602
150,0.02,"Δ=0.02 (small)","Informative (α=10)",0.133333333333333,0.76219638606028,0.543181718814307,0.240641814442127,0.127318418441407
30,0.1,"Δ=0.10 (medium)","KL-optimal",0.266666666666667,0.657324633200207,0.41826407362976,0.260072473000093,0.116589028718068
30,0.1,"Δ=0.10 (medium)","Informative (α=10)",0.333333333333333,0.812440211601521,0.753599388579779,0.162020330470147,0.106073351203078
50,0.1,"Δ=0.10 (medium)","KL-optimal",0.4,0.54515064732968,0.422630763255027,0.274390356248346,0.122911127710921
50,0.1,"Δ=0.10 (medium)","Informative (α=10)",0.5,0.6833910822311,0.665882846309326,0.215510025844141,0.115219781780325
75,0.1,"Δ=0.10 (medium)","KL-optimal",0.533333333333333,0.459267755063197,0.394758886108971,0.333176730351321,0.162488206294033
75,0.1,"Δ=0.10 (medium)","Informative (α=10)",0.466666666666667,0.551259712988889,0.582880881361784,0.314514854638091,0.102520597936702
100,0.1,"Δ=0.10 (medium)","KL-optimal",0.366666666666667,0.530560961524989,0.405414333366081,0.354112847159199,0.15285770163783
100,0.1,"Δ=0.10 (medium)","Informative (α=10)",0.433333333333333,0.596368234964663,0.53802383843706,0.327708327919418,0.144463856631343
150,0.1,"Δ=0.10 (medium)","KL-optimal",0.7,0.332546194317954,0.360025380500084,0.317494037096837,0.120814212525704
150,0.1,"Δ=0.10 (medium)","Informative (α=10)",0.733333333333333,0.384944669788882,0.507148882041575,0.314492789427577,0.128494542655465
30,0.3,"Δ=0.30 (large)","KL-optimal",0.9,0.131122635980816,0.306265171970689,0.167085594131739,0.111356464441351
30,0.3,"Δ=0.30 (large)","Informative (α=10)",0.966666666666667,0.339447543991147,0.743297681805647,0.245694798029394,0.105941407527626
50,0.3,"Δ=0.30 (large)","KL-optimal",0.933333333333333,0.11276797646177,0.287503160419627,0.158477697612957,0.113381745423479
50,0.3,"Δ=0.30 (large)","Informative (α=10)",0.933333333333333,0.252602678763139,0.670936469230454,0.224570471997146,0.0929836158722053
75,0.3,"Δ=0.30 (large)","KL-optimal",1,0.0178341358140855,0.162383078724316,0.0424624233595577,0.0973456796229031
75,0.3,"Δ=0.30 (large)","Informative (α=10)",1,0.0524243077363683,0.492334224686461,0.0976138121702491,0.115256325083917
100,0.3,"Δ=0.30 (large)","KL-optimal",1,0.0116512078051421,0.114960859990177,0.0588008714549863,0.104955634826014
100,0.3,"Δ=0.30 (large)","Informative (α=10)",1,0.0213981601911869,0.369067411096715,0.0858924377542343,0.116868046636722
150,0.3,"Δ=0.30 (large)","KL-optimal",1,0.000119810196800826,0.0450365486906589,0.000596845207699033,0.03494896817901
150,0.3,"Δ=0.30 (large)","Informative (α=10)",1,0.000582097593143501,0.194934183834474,0.00240232235658487,0.0802015989636395
